Gene,signalvalue
TGFBR3,147.3024541
RFWD2,231.8394485
USP48,64.75851475
EPB41,58.75798073
FAF1,74.02239097
RAB3B,63.33344922
DAB1,67.49902843
USP1,58.09658634
LRRC8C,107.5736566
NTNG1,56.82730575
GNAI3,50.71681409
NBPF20,130.2613755
NBPF9,130.2613755
NBPF10,62.51509942
NBPF8,51.65673107
DNM3,75.74056026
RASAL2,134.9984609
SOAT1,96.42102161
SMG7,59.17503983
NEK7,179.5137942
PPP1R12B,95.94458309
SRGAP2,55.79870092
HHAT,81.15271652
ESRRG,128.3992701
RNU5F-1,96.76934419
EPRS,58.26679246
LYST,50.77278297
RGS7,77.84229427
RERE,98.34535771
TNFRSF8,58.70738675
VPS13D,150.0658761
FHAD1,130.3756094
IFFO2,52.27782581
TMCO4,63.13203666
EIF4G3,52.03211185
ALPL,77.17332872
MAN1C1,101.7330362
WASF2,67.14875311
S100PBP,404.1810754
GRIK3,77.62215621
RLF,81.22552092
HIVEP3,195.720826
CFAP57,90.69399091
PLPP3,71.55586472
DOCK7,84.49531623
ATG4C,68.96461876
JAK1,115.7476653
PDE4B,156.72551
IL23R,334.6180751
GNG12,159.6045359
ERICH3,54.7566153
ST6GALNAC5,109.2647612
MIGA1,107.1260137
LPAR3,81.46365973
MCOLN2,66.12747174
LOC105378828,123.4573152
EVI5,203.8412114
CCDC18,72.13991955
BCAR3,73.99642842
DPYD,62.8702995
DPYD-AS1,62.8702995
CDC14A,55.52889939
VAV3,66.01313249
TMIGD3,115.2242172
AP4B1-AS1,230.0077634
CD101,51.14087389
WARS2,95.25854866
LOC101929147,95.25854866
PDE4DIP,130.2613755
NOTCH2NL,70.46967325
TARS2,54.65143051
GATAD2B,137.4187423
KCNN3,79.37988148
ASH1L,56.29303608
LMNA,52.14159466
IFI16,62.86129883
NOS1AP,57.88191176
POU2F1,135.2854062
LINC00970,52.29623777
NME7,78.45684429
BLZF1,52.87936144
LOC100506023,93.99520677
RABGAP1L,83.72235798
CACNA1E,52.34865318
LAMC1,55.34684856
RGL1,65.33916613
EDEM3,96.01314027
FAM129A,55.5441496
SWT1,71.52527013
HMCN1,50.20476482
CFHR4,52.26444681
PTPRC,75.66359137
MIR181A1HG,53.99002162
NR5A2,129.856022
SYT2,81.30222355
LOC101930114,61.99295271
INTS7,85.4033958
RPS6KC1,50.28030758
PTPN14,102.7613499
GPATCH2,55.71996721
DUSP10,83.11682306
CNIH3,111.8675659
ITPKB,87.97484006
GALNT2,238.3830107
SLC35F3,223.6985481
B3GALNT2,52.85394274
NID1,51.10238377
GPR137B,271.3705026
RYR2,54.39251028
FMN2,69.93204178
SDCCAG8,73.48095211
AKT3,88.37190942
NLRP3,62.77039216
LOC102724552,98.34535771
TNFRSF1B,121.4901737
FLJ37453,52.35890372
ZBTB17,95.26234885
ALDH4A1,53.93058045
HMGCL,124.9753638
CNR2,52.49239622
RCAN3,52.46358506
RUNX3,90.48504466
PAQR7,53.54532124
PIGV,86.36081146
SLC9A1,56.71185528
FGR,81.17635083
RPA2,64.52130138
PTAFR,94.8920175
MECR,196.8321267
YARS,404.1810754
TRIT1,65.06494824
SMAP2,134.7027733
RIMS3,55.27407518
C1orf228,59.50734471
LRRC41,77.31563268
UQCRH,77.31563268
TACSTD2,56.69818174
MIER1,87.66254023
IL12RB2,842.4661483
HHLA3,104.0628031
ERICH3-AS1,54.7566153
LINC01361,71.99452722
LINC01140,57.76299644
TMED5,72.13991955
FRRS1,59.28163805
CEPT1,75.49896099
C1orf162,74.22138766
WNT2B,110.9261596
RSBN1,59.77120863
PTPN22,230.0077634
HIPK1,61.18611032
VANGL1,179.7519924
TTF2,54.53632517
POLR3GL,62.51509942
HIST2H2BE,56.13863738
ADAMTSL4-AS1,76.91006607
GABPB2,59.00382693
CRTC2,57.26000213
FLAD1,74.15105149
GBA,94.23957061
RAB25,115.9255448
SEMA4A,61.76375296
CCT3,66.39269806
TSACC,66.39269806
MEF2D,102.5685485
MNDA,56.02458149
AIM2,58.16412626
SLAMF1,169.7877445
SLAMF7,57.23838098
LY9,86.38663241
KLHDC9,55.53811111
FCER1G,103.9334938
FCGR3A,50.95834455
FCGR3B,56.65359094
SFT2D2,75.17039794
LOC100505918,118.0135735
SCYL3,54.7436068
GORAB,112.5821968
GAS5,50.21217339
SNORD44,50.21217339
SNORA103,50.21217339
SNORD77,50.21217339
SNORD76,50.21217339
SNORD75,50.21217339
SNORD74,50.21217339
ZBTB37,50.21217339
LOC102724601,215.2474239
TOR1AIP1,58.9103058
LOC284648,56.21728456
SMG7-AS1,59.17503983
COLGALT2,111.9822865
IVNS1ABP,80.1638923
RGS1,85.05322081
LINC01221,70.80387577
C1orf106,72.40715332
KIF21B,137.5427248
PIK3C2B,53.76968428
MDM4,114.6154635
RBBP5,55.39183221
NUCKS1,114.2922646
RAB29,65.09810933
CD55,78.58492385
G0S2,61.99295271
ATF3,104.4298083
SPATA45,64.53248934
BPNT1,96.76934419
BROX,184.6997019
DEGS1,50.09132261
ITPKB-IT1,87.97484006
KIAA1804,54.77147101
KCNK1,55.76857495
IRF2BP2,75.33337639
LINC01132,115.4706921
NCKAP5,59.35244142
SPATS2L,68.16818521
LINC00299,104.4021287
FAM49A,136.4697302
AFF3,51.38910015
TMEFF2,72.24839023
MIR3681HG,674.5785986
ATAD2B,99.84383027
PRKCE,141.3254141
TTC7A,144.7252523
FSHR,73.78575601
CCDC88A,71.30977666
ACYP2,61.98305331
EHBP1,56.39054363
SLC4A5,52.65000167
CTNNA2,97.96738133
DNAH6,118.7449404
IL1R1,81.77191528
SH3RF3,60.18090747
MIR4435-2HG,124.2138765
MBD5,57.07024969
COBLL1,119.2660193
STK39,51.73238781
UBR3,52.31052734
MIR548N,158.4716195
HECW2,68.79228488
LOC101927619,169.1005551
BMPR2,96.72733842
ERBB4,65.26716237
IKZF2,126.8490579
SPAG16,55.75994509
EPHA4,80.73986491
SGPP2,74.07631109
TRIP12,368.6554413
HDAC4,126.5177685
TSSC1,58.64230025
TRAPPC12,68.59803522
RNF144A,56.37082545
ATP6V1C2,107.3520566
LPIN1,83.99703087
LINC00276,70.34445251
NBAS,68.16129265
WDR35,95.00727773
ITSN2,180.4822024
NCOA1,52.32681374
DTNB,75.26257419
MEMO1,60.50804738
RASGRP3,144.1445984
LINC01317,97.3629614
GALM,92.84617672
MAP4K3,90.30566609
LOC728730,225.6869765
MTA3,102.0684454
THADA,122.6872932
LRPPRC,60.24626099
PPM1B,82.57176297
CAMKMT,64.12509276
LOC101805491,122.9624612
LOC101927043,127.6858786
FBXO11,69.25853858
VRK2,75.66101791
LINC01185,75.41159919
PUS10,93.86787569
USP34,154.8811563
COMMD1,143.725924
WDPCP,187.7255204
MDH1,187.7255204
PELI1,81.55734342
LOC400958,66.75295285
PPP3R1,50.70170459
ANXA4,56.22107487
ZNF638,54.6604083
M1AP,140.5099766
SUCLG1,59.19335054
EIF2AK3,51.99834248
INPP4A,60.3799319
MAP4K4,53.51833026
NCK2,119.4544671
LIMS1,115.7553458
BUB1,125.0415072
ACOXL,140.0985585
ACTR3,57.29485433
CLASP1,73.93852897
MYO7B,78.86342192
LOC105373609,78.86342192
MGAT5,196.8619661
