Gene,signalvalue
CAMTA1,69.04441062
SFPQ,52.62561541
GBAP1,55.97197531
NPHP4,100.4947794
KCNAB2,100.4947794
MTOR,52.76095346
TMEM57,54.77536896
ZSCAN20,54.54851039
KIAA0319L,53.39357252
RRAGC,55.19642732
ERI3,64.80636129
TESK2,73.58579318
NDC1,73.7331857
HFM1,263.326788
RBM15,67.98804826
FAM72B,50.14433732
ENSA,99.38188631
ZNF687,189.0743195
GATAD2B,132.5305964
EDEM3,56.43215283
PPP2R5A,90.52780017
DUSP10,68.80325383
COQ8A,123.5657408
CCNL2,94.72775456
LOC148413,94.72775456
TPRG1L,69.63526344
ENO1,61.83116261
ENO1-AS1,61.83116261
PGD,50.32807128
MTHFR,74.03478184
CLCN6,74.03478184
MIIP,63.82709153
HNRNPR,71.11512552
ATPIF1,71.27384584
AK2,134.6632636
NCDN,53.39357252
ZNF691,51.84187868
STIL,70.31222391
LOC440600,67.98804826
FAM72D,81.83394749
FAM72C,87.13079811
ANP32E,97.89470691
GOLPH3L,65.69112522
LOC100507670,189.0743195
TDRKH,100.8122123
INTS3,61.93166387
SLC39A1,62.58941143
CREB3L4,62.58941143
UBE2Q1,60.10390937
SHC1,68.57494609
CKS1B,68.57494609
MIR4258,68.57494609
FLAD1,101.1994713
PMF1,347.5707344
PMF1-BGLAP,347.5707344
CCT3,57.5847089
TSACC,57.5847089
TOR1AIP1,51.71490443
ASPM,53.36212319
FAM72A,87.13079811
LOC101929541,90.52780017
EHBP1,67.32510049
ANKRD39,74.88490161
PNKD,59.94965976
PPM1B,91.25976581
MSH2,66.20576233
RTN4,75.97475329
PAIP2B,84.86181218
SFXN5,111.4826412
EIF2AK3,184.8275396
COPS7B,67.83470184
ID2-AS1,83.55430019
ID2,83.55430019
LAPTM4A,55.86074041
CENPA,137.0844662
ACTR2,52.31925818
MXD1,67.90454497
PRADC1,69.87643021
CCT7,69.87643021
INO80B-WBP1,121.2376254
WBP1,121.2376254
LOC101928403,184.8275396
ACTR1B,60.14341035
ORC2,62.89734829
AAMP,59.94965976
ATG9A,62.819605
ANKZF1,62.819605
PDE6D,67.83470184
FHIT,76.97865322
ZBTB20,57.78023757
ACAP2,109.802153
OXSR1,52.5430283
IP6K1,60.69447833
DCP1A,52.61694079
RUVBL1,94.03821964
RNF13,71.68590358
IQCG,67.72231025
HACL1,77.2763497
BTD,77.2763497
SGO1,101.1854478
EPM2AIP1,64.17353966
MLH1,64.17353966
SLC25A38,50.72420928
C3orf18,63.77460241
HEMK1,63.77460241
MANF,71.48569307
RRP9,57.22664943
PARP3,57.22664943
CGGBP1,108.1619985
GOLGB1,54.97976689
SLC33A1,52.81324223
SSR3,66.83163154
ETV5,58.73039893
LMLN,67.72231025
FRYL,123.7498938
ELF2,54.90148831
ABCA11P,72.59579503
ZNF721,72.59579503
MXD4,79.58125422
COMMD8,51.75898462
DCUN1D4,98.44601819
MSMO1,114.0655329
HMGB2,51.67135887
MTMR12,122.0363253
PPWD1,80.64578951
MCCC2,50.63296774
FER,64.03666944
AP3S1,67.68047483
CDC25C,59.90020495
RBM27,90.24404486
TCERG1,88.0283107
SLC36A1,53.85382845
HMGCS1,71.54376825
CENPK,80.64578951
ATG12,67.68047483
GRPEL2-AS1,67.60274425
PCYOX1L,67.60274425
SLC26A2,79.89837017
DCTN4,73.90762993
LOC100652758,145.2380479
G3BP1,145.2380479
CCNG1,66.76580811
GRK6,77.88077986
CANX,79.62527669
AMD1,50.16498663
JARID2,86.5516555
E2F3,62.80436347
MSH5,62.09352222
MSH5-SAPCD1,62.09352222
ZNF292,89.96311495
FYN,87.88169054
HIST1H2BK,72.47846789
HIST1H2AH,72.47846789
MIR3143,72.47846789
CCHCR1,81.36972145
TCF19,81.36972145
AGPAT1,133.3873799
RNF5,133.3873799
RNF5P1,133.3873799
MIR6833,133.3873799
HCG25,50.56728131
CNPY3,71.41974116
CNPY3-GNMT,71.41974116
SRF,77.16535384
RWDD1,63.7308494
MTFR2,52.20678227
TCP1,65.69144651
MRPL18,65.69144651
C7orf50,67.42516498
EXOC4,59.16606648
GET4,609.3543842
GNA12,69.42072578
RBAK-RBAKDN,50.24000002
LOC100505921,65.91964964
GLCCI1,65.91964964
HIBADH,69.05321958
OGDH,70.20099374
LOC441242,51.4256915
PHTF2,102.8192073
AGFG2,52.40194748
HBP1,83.36126633
BPGM,62.89625111
CREB3L2,60.05300055
ZNF775,62.47273684
ABCB8,54.63669112
AP5Z1,102.3315277
RBAK,50.24000002
FAM126A,117.2498824
PPIA,60.08985527
H2AFV,127.5585157
CCT6P1,51.4256915
TMEM60,102.8192073
PDAP1,50.86686579
BUD31,50.86686579
LAMTOR4,65.21412182
LRCH4,196.0144155
FBXO24,196.0144155
NCOA2,63.69939234
FDFT1,65.42293681
SLCO5A1,140.3905383
AP3M2,151.1616339
PLAG1,69.55918663
CHCHD7,69.55918663
SHARPIN,192.7717189
MAF1,192.7717189
SMARCA2,71.45558369
RCL1,68.05047387
KDM4C,68.84787003
DNAJB5,127.4990443
IARS,56.22697991
MEGF9,61.07082431
RALGPS1,51.55065553
NOL6,64.51999252
DNAJB5-AS1,127.4990443
VCP,68.31310078
HINT2,54.3358923
ZBTB5,62.48497675
HNRNPK,57.56042399
RMI1,57.56042399
MIR3651,56.22697991
SNORA84,56.22697991
ATP6V1G1,76.76844128
HSPA5,79.41965107
SLC2A8,81.11835383
