Gene,signalvalue
TGFBR3,162.5625665
CAMTA1,124.4731841
EPHB2,72.31156459
EPB41,296.0989671
PUM1,54.40742508
MACF1,71.49826748
DAB1,104.0846048
NFIA,182.6605573
NEGR1,103.8992093
LRRC8C,57.03363024
FAM69A,103.8960652
NTNG1,67.60328713
NBPF20,139.0133512
NBPF9,139.0133512
NBPF10,139.0133512
OTUD7B,73.98793446
DNM3,162.8949857
RASAL2,88.58370006
NEK7,101.4402597
PPP1R12B,112.1903063
SRGAP2,72.30075911
HHAT,53.71071548
USH2A,133.5513411
MIR548F3,60.48681171
RGS7,52.62218114
KIF26B,61.74436806
SMYD3,107.9376489
RERE,113.8080554
CTNNBIP1,76.33608175
PEX14,170.6518548
C1orf127,56.89102152
VPS13D,224.9904082
KAZN,55.02873151
TMEM51-AS1,61.57284608
SPEN,53.7520788
UBR4,96.59430785
CAPZB,93.1470976
TMCO4,88.62131957
EIF4G3,148.0910422
LUZP1,120.5957556
TMEM57,53.0595564
MAN1C1,71.36499775
WASF2,94.58810351
PTP4A2,117.1045672
KPNA6,73.10766989
AGO3,60.83596762
RRAGC,75.09294514
RLF,122.988669
HIVEP3,114.6553646
ST3GAL3,65.72717184
TESK2,58.53039888
PIK3R3,76.85914837
EPS15,86.15745342
OSBPL9,123.2486801
ZCCHC11,63.68483851
ZYG11A,73.03110731
SSBP3,72.71748324
PLPP3,122.9892552
DOCK7,87.4338591
JAK1,51.2307684
AK4,105.4069711
PDE4B,175.8660553
IL23R,165.8073864
GNG12,188.5945128
SLC44A5,60.84386014
ST6GALNAC5,53.96161887
ZZZ3,52.40627453
GIPC2,85.77037635
PRKACB,74.03163401
LINC01461,123.7650858
LPAR3,111.6311619
MCOLN2,98.33779032
COL24A1,142.225156
LOC105378828,118.9437399
LRRC8D,70.34858812
HFM1,52.02112793
EVI5,178.7272593
BCAR3,210.7896415
ABCA4,63.19828605
DPYD,58.50786342
DPYD-AS1,58.50786342
MFSD14A,138.9738031
CDC14A,110.1936528
RNPC3,55.29063329
VAV3,67.84357343
ATP1A1,132.0414654
CD101,84.48605843
PDE4DIP,73.56024011
NBPF25P,139.0133512
SNX27,72.23115808
NUP210L,89.0784424
IL6R,57.45339358
KCNN3,65.5559421
LMNA,62.63718973
CD5L,106.2964092
ATF6,102.3050622
DDR2,105.9674687
FAM78B,61.17417196
RCSD1,59.45443891
LINC00970,135.2433521
NME7,308.9777387
BLZF1,202.8180475
LOC100506023,112.5466567
SLC9C2,66.40875164
RABGAP1L,111.3348764
TNR,52.67209291
CEP350,61.14143093
LINC01344,115.7298588
LAMC1,59.0378398
RGL1,116.2685471
EDEM3,61.44395541
FAM129A,106.3220337
HMCN1,78.52283105
PLA2G4A,90.97023649
LINC01036,68.75055216
LOC440704,77.10559155
CDC73,59.84727832
LINC01031,73.34311964
PTPRC,136.0882619
MIR181A1HG,98.81553379
KIF14,78.74708848
ATP2B4,127.9842863
LRRN2,66.78044483
DSTYK,50.12856326
SYT14,59.11432406
RPS6KC1,100.0387683
GPATCH2,106.5215177
LOC102723886,102.4949927
DUSP10,52.02033862
CAPN8,63.02513624
TP53BP2,52.69825151
CNIH3,89.66297346
ITPKB,63.3904185
CDC42BPA,113.4041859
SNAP47,54.39216126
GALNT2,80.25100809
SLC35F3,142.2370219
ARID4B,57.40138533
B3GALNT2,175.5101534
NID1,178.0154602
SDCCAG8,99.96475804
AKT3,196.6187003
C1orf101,88.55556714
CNST,51.02272034
AHCTF1,90.51162427
NLRP3,62.13812341
ACAP3,91.57179527
PUSL1,91.57179527
GNB1,142.909845
TP73,183.5059397
SLC2A5,50.78646695
MIR34AHG,94.35140819
PIK3CD,88.33817274
PIK3CD-AS2,88.33817274
PRDM2,50.96168394
EFHD2,56.30918686
ZBTB17,115.5383253
SZRD1,52.65689635
STPG1,50.93122061
RUNX3,111.4056727
MEAF6,60.9532237
KIAA0754,71.49826748
NT5C1A,165.9793687
SMAP2,106.6786997
RIMS3,68.24076997
NFYC,57.76255071
MIR30E,55.32136708
C1orf228,74.7475351
